# 2013-07-29 11:23:42.471000 #
# 2013-07-29 11:23:42.490000 #
# 2013-07-29 11:25:21.081000 #
# 2013-07-29 11:25:21.083000 #
# 2013-07-29 11:25:23.813000 #
collectable.Collectable((59.99999999999971, 219.99999999999966), [127,127,127], 'wrench.png')
collectable.Collectable((109.49999999999964, 223.49999999999966), [127,127,127], 'wrench.png')
# 2013-07-29 11:25:23.816000 #
# 2013-07-29 11:26:31.571000 #
pymunk.Segment(static_body, (27.99999999999974, 224.99999999999966), (169.49077662796296, 254.49999999999963), 4)
# 2013-07-29 11:26:31.572000 #
# 2013-07-29 11:26:36.704000 #
pymunk.Segment(static_body, (41.49999999999973, 178.99999999999972), (219.99999999999952, 222.49999999999966), 4)
pymunk.Segment(static_body, (99.99999999999966, 219.99999999999966), (333.9999999999994, 193.4999999999997), 4)
pymunk.Segment(static_body, (25.499999999999744, 121.49999999999976), (357.4999999999994, 246.49999999999963), 4)
# 2013-07-29 11:26:36.707000 #
# 2013-07-29 11:26:39.840000 #
pymunk.Segment(static_body, (78.99999999999969, 159.99999999999972), (179.99999999999957, 162.99999999999972), 4)
# 2013-07-29 11:26:39.842000 #
# 2013-07-29 11:26:42.053000 #
collectable.Collectable((160.9999999999996, 114.99999999999977), [127,127,127], 'wrench.png')
collectable.Collectable((277.4999999999995, 152.99999999999974), [127,127,127], 'wrench.png')
collectable.Collectable((224.49999999999952, 204.9999999999997), [127,127,127], 'wrench.png')
# 2013-07-29 11:26:42.056000 #
# 2013-07-29 11:31:05.739000 #
pymunk.Segment(static_body, (251.73332158802867, 409.7312121849557), (312.73332159249117, 414.73121218270273), 4)
# 2013-07-29 11:31:05.740000 #
# 2013-07-29 11:33:51.173000 #
pymunk.Segment(static_body, (458.9999999997108, 207.4999999999673), (660.4999999999875, 230.99999999999966), 4)
# 2013-07-29 11:33:51.174000 #
# 2013-08-08 23:54:24.215000 #
pymunk.Segment(static_body, (0.4999999999999425, 105.49999999999976), (166.49999999999972, 105.49999999999976), 4)
pymunk.Segment(static_body, (166.49999999999972, 105.49999999999976), (205.49999999999966, 100.99999999999976), 4)
pymunk.Segment(static_body, (205.49999999999966, 100.99999999999976), (267.4999999999996, 84.99999999999979), 4)
pymunk.Segment(static_body, (267.4999999999996, 84.99999999999979), (317.49999999999955, 76.99999999999979), 4)
pymunk.Segment(static_body, (317.49999999999955, 76.49999999999979), (388.99999999999943, 79.99999999999979), 4)
pymunk.Segment(static_body, (388.99999999999943, 79.99999999999979), (399.99999999999943, 83.99999999999979), 4)
pymunk.Segment(static_body, (399.99999999999943, 83.99999999999979), (408.9999999999994, 84.99999999999979), 4)
pymunk.Segment(static_body, (408.9999999999994, 84.99999999999979), (415.4999999999994, 79.99999999999979), 4)
pymunk.Segment(static_body, (415.4999999999994, 79.99999999999979), (431.4999999999994, 72.9999999999998), 4)
pymunk.Segment(static_body, (431.57263107108065, 72.87655343629946), (448.88744588130413, 72.87655343368158), 4)
pymunk.Segment(static_body, (448.88744588130413, 72.87655343368158), (456.22077921463745, 75.32099787812602), 4)
pymunk.Segment(static_body, (456.22077921463745, 75.32099787812602), (463.14670514056337, 73.08025713738529), 4)
pymunk.Segment(static_body, (463.14670514056337, 73.08025713738529), (468.2392977331559, 73.28396084108898), 4)
pymunk.Segment(static_body, (468.2392977331559, 73.28396084108898), (477.6096681035263, 77.96914602627416), 4)
pymunk.Segment(static_body, (477.6096681035263, 77.96914602627416), (486.36892736278554, 78.17284972997787), 4)
pymunk.Segment(static_body, (486.36892736278554, 78.17284972997787), (492.27633477019293, 70.43210898923714), 4)
pymunk.Segment(static_body, (492.27633477019293, 70.43210898923714), (500.6281866220448, 72.46914602627417), 4)
pymunk.Segment(static_body, (500.6281866220448, 72.46914602627417), (511.01707551093364, 68.80247935960752), 4)
pymunk.Segment(static_body, (511.01707551093364, 68.80247935960752), (547.887445881304, 70.43210898923714), 4)
pymunk.Segment(static_body, (547.8874222858354, 70.43210727755502), (570.29485328871, 79.59877565590372), 4)
pymunk.Segment(static_body, (570.29485328871, 79.59877565590372), (633.2392977331542, 88.15433121145927), 4)
pymunk.Segment(static_body, (633.239219303894, 88.15432418155694), (685.183742177597, 91.20988676701492), 4)
pymunk.Segment(static_body, (685.183742177597, 91.20988676701492), (777.0541125479672, 91.41359047071862), 4)
pymunk.Segment(static_body, (777.3888888888896, 91.209886767015), (908.9814814814812, 91.61729417442241), 4)
